1789 3491:0.284749276271,581:0.338294856802,2183:0.263053420373,366:0.553631800679,931:0.590474180735,645:0.283036055509,
1790 1352:0.473468893704,2607:0.495311589502,3249:0.424761394326,3285:0.29253693666,732:0.378824031798,1599:0.347830256751,
1791 3285:0.210945873681,2504:0.428982106158,1578:0.441981401565,2126:0.325424698661,48:0.365238044931,181:0.37121488074,185:0.311225761576,732:0.273166757235,479:0.165971467638,
1792 2504:0.266198313924,124:0.430186834149,2668:0.480287649621,3285:0.261798499738,2331:0.574394655721,732:0.339018943459,
1793 3184:0.467235321534,3154:0.428418482134,571:0.404296734573,1963:0.599634590249,943:0.274100833759,
1794 2423:0.359467603641,19:0.441832823068,1964:0.478318698982,950:0.499025210596,483:0.444692994982,
1795 2797:0.165980443891,2274:0.545262524171,2099:0.293738768249,453:0.51124110579,877:0.572266843141,
1796 2946:0.373010847516,451:0.463839795164,2757:0.3120653329,2953:0.292454468071,213:0.326347609639,2967:0.273101650378,1374:0.530767265766,
1797 2301:0.728901320801,1054:0.684618773139,
1798 1352:0.474935994224,3457:0.438441188515,2827:0.45159976609,1540:0.504181430193,3125:0.352227003963,
1799 619:0.590615646125,585:0.29935964286,1210:0.668114128487,19:0.339382489377,
1800 1409:0.548128769726,484:0.437861378111,2760:0.40750823909,210:0.380142643621,380:0.38486719035,479:0.221671190561,
1801 2018:0.577501352389,454:0.324488788063,2183:0.313406845873,1992:0.326601901635,1165:0.489976732774,571:0.340924276869,
1802 2504:0.295056520206,921:0.537958798205,218:0.357268093407,2259:0.454424715641,1436:0.537958798205,
1803 2448:0.538355271639,569:0.307952777914,2634:0.587483191396,1341:0.519809761259,
1804 2316:0.578032527823,3326:0.816013723401,
1805 2392:0.542664748594,218:0.345728771471,2797:0.222921600676,3082:0.732319975941,
1806 2945:0.52258587022,483:0.245623921178,585:0.215264378125,1354:0.334591955841,1827:0.56474234451,3257:0.2641969083,858:0.168075597425,3421:0.302157309527,
1807 2981:0.312146381509,3249:0.428301239291,2504:0.299932238967,1929:0.416589603023,1105:0.410893200659,3285:0.294974859259,732:0.381981047382,479:0.232085176416,
1808 738:0.469137904522,3173:0.442444089013,2606:0.290493577743,690:0.531539298362,413:0.417571066552,479:0.207042784476,
1809 2747:0.822074876796,3014:0.569379396309,
1810 2504:0.286389329208,1657:0.568926763222,2925:0.770910818581,
1811 266:0.369932511629,3214:0.602783905201,2607:0.70696640689,
